industry,location,position,skillset,interviewtype,gender,candidatelocation,joblocation,interviewvenue,candidatenativelocation,permission,nomeetings,follow,alternativenumber,printout,clearvenue,callletter,expected attendance,observed attendance,marital status
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,no,no,yes,yes,yes,yes,no,no,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,no,yes,yes,yes,yes,yes,no,no,no,married
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,no,yes,yes,yes,no,yes,no,no,no,single
bfsi,chennai,aml,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,aml,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,aml,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,aml,routine,scheduled walkin,female,chennai,chennai,chennai,coimbatore,yes,yes,yes,no,yes,yes,need to check,uncertain,no,single
bfsi,chennai,aml,routine,scheduled walkin,male,chennai,chennai,chennai,trichy,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,aml,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,aml,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,no,yes,no,yes,no,no,married
bfsi,chennai,aml,routine,scheduled walkin,male,chennai,chennai,chennai,salem,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,trade finance,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,no- i need to check,yes,no,no,married
bfsi,chennai,trade finance,routine,scheduled walkin,female,chennai,chennai,chennai,tanjore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,trade finance,routine,scheduled walkin,female,chennai,chennai,chennai,trichy,yes,yes,yes,no,no- will take it soon,yes,yes,no,no,married
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,coimbatore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,trade finance,routine,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,trade finance,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,trade finance,routine,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,no- i need to check,not sure,no,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,trichy,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,need to check,no,no,married
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yet to confirm,yes,yes,yes,no,yes,yes,no,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yet to confirm,yes,yes,no i have only thi number,yes,yes,yes,no,no,single
bfsi,chennai,routine,oracle,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,no i have only thi number,yes,no,yes,no,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yet to confirm,yes,yes,yes,yes,no,yes,no,no,single
bfsi,chennai,routine,oracle,scheduled walkin,male,chennai,chennai,chennai,chennai,yet to confirm,yes,yes,yes,yes,no,need to check,no,no,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,married
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes ,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,no,no,no,no,no,yes,yes,no,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,no,yes,no,no,na,na,yet to check,uncertain,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,no,yes,yes,yes,no,no,not sure,no,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,no,yes,yes,yes,no,no,not sure,no,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,chennai,routine,accounting operations,scheduled walkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,chennai,routine,accounting operations,scheduled walkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no ,single
bfsi,bangalore,niche,banking operations,scheduled walkin,female,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,niche,banking operations,scheduled walkin,female,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,kolkata,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,niche,banking operations,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
bfsi,bangalore,routine,fresher,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
