a,b,c,a^2 + b^2 - c^2,2ab,C,COS,Degrees
57,59,43,4881,6726,0.73,0.758757629,43.47360983
498,166,460,63960,165336,0.39,1.173584668,67.24144839
565,762,809,245388,861060,0.28,1.281806982,73.44213023
644,614,1257,-788317,790832,-1.00,3.061819449,175.4293321
510,6,515,-5089,6120,-0.83,2.552663442,146.2568418
878,250,1047,-262825,439000,-0.60,2.212661195,126.776148
667,434,272,559261,578956,0.97,0.261582761,14.98758819
883,671,1062,102086,1184986,0.09,1.484539865,85.05786878
707,11,707,121,15554,0.01,1.563016899,89.55427162
192,301,143,107016,115584,0.93,0.387459102,22.19977129
916,11,917,-1712,20152,-0.08,1.655853196,94.87339965
87,52,63,6304,9048,0.70,0.799969541,45.83487845
872,614,631,739219,1070816,0.69,0.80884791,46.3435715
48,414,424,-6076,39744,-0.15,1.724276608,98.79377235
930,12,931,-1717,22320,-0.08,1.647798924,94.41192384
949,110,922,62617,208780,0.30,1.266189029,72.54728741
590,816,798,377152,962880,0.39,1.168326958,66.94020379
940,63,999,-110432,118440,-0.93,2.771759611,158.8101275
161,823,808,50386,265006,0.19,1.379500194,79.03953894
41,420,439,-14640,34440,-0.43,2.009854446,115.1561772
942,926,1001,742839,1744584,0.43,1.130953552,64.79886535
192,619,711,-85496,237696,-0.36,1.938728021,111.0809332
182,299,385,-25700,108836,-0.24,1.809182866,103.6585426
121,617,571,69289,149314,0.46,1.088235706,62.35131305
193,68,223,-7856,26248,-0.30,1.874754212,107.415504
607,816,916,195249,990624,0.20,1.372400396,78.63275049
20,641,650,-11219,25640,-0.44,2.023677982,115.9482074
729,44,690,57277,64152,0.89,0.467200501,26.7686169
728,694,507,754571,1010464,0.75,0.727623766,41.68977086
941,277,815,297985,521314,0.57,0.962337357,55.137869
243,349,197,142041,169614,0.84,0.578220071,33.12956969
771,478,455,615900,737076,0.84,0.581573967,33.32173377
162,849,911,-82876,275076,-0.30,1.876835273,107.53474
112,185,291,-37912,41440,-0.91,2.725969429,156.1865434
294,830,635,372111,488040,0.76,0.703689657,40.31844743
337,201,209,110289,135474,0.81,0.619623481,35.50181033
579,960,881,480680,1111680,0.43,1.123653958,64.38062942
581,56,608,-28967,65072,-0.45,2.032141512,116.433132
517,446,190,430105,461164,0.93,0.369104336,21.14812067
901,663,1413,-745199,1194726,-0.62,2.244315456,128.5898036
225,890,707,342876,400500,0.86,0.543082373,31.11632793
919,605,1191,-207895,1111990,-0.19,1.758860565,100.7752872
890,139,1010,-208679,247420,-0.84,2.57441397,147.5030552
493,556,702,59381,548216,0.11,1.462266601,83.78170475
361,824,1105,-411728,594928,-0.69,2.335140264,133.7936817
105,795,743,91001,166950,0.55,0.994312551,56.96991267
385,173,462,-35290,133210,-0.26,1.838917337,105.3622023
464,378,266,287424,350784,0.82,0.610474629,34.97761972
499,558,1016,-471891,556884,-0.85,2.581823199,147.9275727
913,284,724,390049,518584,0.75,0.71948931,41.22370086
92,113,178,-10451,20792,-0.50,2.097452275,120.1751631
681,938,740,796005,1277556,0.62,0.898136551,51.45943381
618,936,1018,221696,1156896,0.19,1.377973653,78.95207458
638,993,376,1251717,1267068,0.99,0.155819863,8.927820538
320,178,221,85243,113920,0.75,0.725344818,41.55919678
511,117,476,48234,119574,0.40,1.155586425,66.21022501
666,751,131,990396,1000332,0.99,0.141061612,8.082234995
304,2,304,4,1216,0.00,1.567506847,89.8115267
868,855,300,1394449,1484280,0.94,0.349691651,20.03585575
870,350,780,271000,609000,0.44,1.109631234,63.57718652
338,976,1043,-21029,659776,-0.03,1.602674664,91.82649421
165,537,476,89018,177210,0.50,1.044504346,59.84569069
612,870,900,321444,1064880,0.30,1.26415393,72.43068486
930,442,1333,-716625,822120,-0.87,2.629414916,150.6543773
308,449,521,25024,276584,0.09,1.480197209,84.80905291
769,911,1487,-789887,1401118,-0.56,2.169721194,124.3158671
938,735,747,862060,1378860,0.63,0.895411603,51.30330578
302,306,222,135556,184824,0.73,0.747437907,42.82503751
344,584,417,285503,401792,0.71,0.780482493,44.71835283
302,180,151,100803,108720,0.93,0.383982961,22.00060305
186,158,123,44431,58776,0.76,0.713710858,40.89261993
330,665,575,220500,438900,0.50,1.0444329,59.84159714
180,257,407,-67200,92520,-0.73,2.383762915,136.5795544
628,391,988,-428879,491096,-0.87,2.632752031,150.8455799
469,749,427,598633,702562,0.85,0.550866261,31.56231184
808,567,553,668544,916272,0.73,0.753008474,43.1442075
820,776,890,482476,1272640,0.38,1.181957389,67.72116996
518,352,659,-42053,364672,-0.12,1.686370778,96.62192827
729,292,924,-237071,425736,-0.56,2.161384646,123.8382181
387,142,519,-99428,109908,-0.90,2.701348223,154.7758521
696,655,1146,-399875,911760,-0.44,2.024808579,116.0129859
807,879,695,940865,1418706,0.66,0.845729681,48.45674135
355,652,611,177808,462920,0.38,1.176562474,67.4120641
571,462,898,-266919,527604,-0.51,2.101230429,120.3916354
953,658,1080,174773,1254148,0.14,1.430985327,81.98941978
780,467,803,181680,728520,0.25,1.318753967,75.55903654
167,201,185,34065,67134,0.51,1.038610592,59.50800346
640,795,327,934696,1017600,0.92,0.406450581,23.28790288
114,228,269,-7381,51984,-0.14,1.713263777,98.16278359
387,374,624,-99731,289476,-0.34,1.922526442,110.1526511
808,982,478,1388704,1586912,0.88,0.505157417,28.94338798
417,251,428,53706,209334,0.26,1.311338558,75.13416486
477,120,589,-104992,114480,-0.92,2.731592833,156.5087407
5,622,624,-2467,6220,-0.40,1.978632378,113.3672845
960,898,154,1704288,1724160,0.99,0.151972502,8.707382985
196,59,215,-4328,23128,-0.19,1.759038571,100.7854861
521,42,493,30156,43764,0.69,0.810605845,46.44429374
478,318,351,206407,304008,0.68,0.824461355,47.23815602
21,348,360,-8055,14616,-0.55,2.154488278,123.4430854
785,631,1106,-208850,990670,-0.21,1.783206915,102.1702302
872,998,1764,-1355308,1740512,-0.78,2.463361139,141.1401967
750,430,1072,-401784,645000,-0.62,2.243267349,128.5297514
631,108,724,-114351,136296,-0.84,2.566221024,147.0336339
321,547,571,76209,351174,0.22,1.352043767,77.46640159
658,325,475,312964,427700,0.73,0.749929095,42.96777205
555,687,542,486230,762570,0.64,0.879391329,50.38541167
600,990,1570,-1124800,1188000,-0.95,2.813943011,161.2270583
960,885,1312,-16519,1699200,-0.01,1.580518114,90.55701736
264,893,897,62536,471504,0.13,1.437773465,82.37835144
697,756,544,761409,1053864,0.72,0.763395425,43.73933597
755,566,441,695900,854660,0.81,0.61937418,35.48752645
125,259,211,38185,64750,0.59,0.940072185,53.86216865
323,984,875,306960,635664,0.48,1.066836752,61.12524335
884,478,664,569044,845104,0.67,0.832076517,47.67447265
687,874,802,592641,1200876,0.49,1.054678659,60.42863588
555,21,536,21170,23310,0.91,0.431847791,24.74305582
215,553,729,-179407,237790,-0.75,2.425652671,138.9796606
839,866,1479,-733564,1453148,-0.50,2.09995846,120.3187569
160,808,854,-50852,258560,-0.20,1.768760716,101.342524
111,313,235,55065,69486,0.79,0.655961605,37.5838315
45,318,285,21924,28620,0.77,0.698142135,40.00059786
738,149,703,72636,219924,0.33,1.234198523,70.71436643
46,650,635,21391,59800,0.36,1.204982887,69.04043379
362,221,279,102044,160004,0.64,0.879211004,50.37507981
589,108,664,-82311,127224,-0.65,2.274409503,130.3140654
87,200,127,31440,34800,0.90,0.443050153,25.3849039
567,24,586,-21331,27216,-0.78,2.47150447,141.6067752
990,764,228,1511812,1512720,1.00,0.034649771,1.985285662
785,649,489,798305,1018930,0.78,0.670559921,38.42025336
983,58,946,74737,114028,0.66,0.856048823,49.04798464
825,152,904,-113487,250800,-0.45,2.040363109,116.9041948
815,934,1294,-137855,1522420,-0.09,1.66147044,95.19524402
12,955,962,-13275,22920,-0.58,2.188529174,125.393485
755,834,448,1064877,1259340,0.85,0.563139272,32.26550358
64,934,895,75427,119552,0.63,0.888065949,50.88243082
276,213,124,106169,117576,0.90,0.444136798,25.44716407
829,584,384,880841,968272,0.91,0.428225413,24.53550886
804,302,987,-236549,485616,-0.49,2.079575273,119.1508863
821,571,678,540398,937582,0.58,0.956511647,54.80408045
709,621,417,714433,880578,0.81,0.624385018,35.77462634
400,490,525,124475,392000,0.32,1.247664066,71.48588525
933,449,889,281769,837834,0.34,1.227804158,70.34799633
222,626,773,-156369,277944,-0.56,2.168313712,124.2352244
1000,292,899,277063,584000,0.47,1.076487934,61.6782153
937,574,937,329476,1075676,0.31,1.259496033,72.16380701
854,743,811,623644,1269044,0.49,1.05706746,60.56550414
558,404,212,429636,450864,0.95,0.30808152,17.65177083
165,720,850,-176875,237600,-0.74,2.410467201,138.1095973
911,730,1397,-588788,1330060,-0.44,2.029379125,116.2748589
746,49,745,3892,73108,0.05,1.517534841,86.94834163
987,18,997,-19516,35532,-0.55,2.152264454,123.3156696
828,495,1182,-466515,819720,-0.57,2.176225553,124.6885395
139,286,294,14681,79508,0.18,1.385082548,79.35938427
1000,470,774,621824,940000,0.66,0.84795932,48.58449023
622,416,454,353824,517504,0.68,0.817958266,46.86555645
910,323,705,435404,587860,0.74,0.736745163,42.2123884
581,537,301,535329,623994,0.86,0.539613584,30.91758095
178,150,292,-31080,53400,-0.58,2.192009947,125.5929186
216,651,505,215432,281232,0.77,0.698154994,40.0013346
525,75,468,62226,78750,0.79,0.659707673,37.79846535
692,854,541,915499,1181936,0.77,0.68475223,39.23341279
42,70,31,5703,5880,0.97,0.245984906,14.09389696
569,827,1102,-206714,941126,-0.22,1.79224731,102.6882067
598,744,422,733056,889824,0.82,0.602676597,34.53082542
628,276,720,-47840,346656,-0.14,1.709242423,97.932377
966,211,951,73276,407652,0.18,1.390062642,79.64472263
580,820,383,862111,951200,0.91,0.436255109,24.99557654
883,468,744,445177,826488,0.54,1.001977811,57.40909974
675,692,731,400128,934200,0.43,1.128173666,64.63958962
524,800,781,304615,838400,0.36,1.198957766,68.69521983
394,578,483,256031,455464,0.56,0.97383464,55.7966148
146,870,1010,-241884,254040,-0.95,2.830989069,162.2037255
456,801,526,572861,730512,0.78,0.669404881,38.35407444
891,785,1348,-406998,1398870,-0.29,1.866013561,106.9147016
123,467,428,50034,114882,0.44,1.120174749,64.18128546
6,131,130,297,1572,0.19,1.380722597,79.10957747
978,315,984,87453,616140,0.14,1.428378478,81.84005831
631,150,605,54636,189300,0.29,1.27800985,73.22457056
164,923,921,30584,302744,0.10,1.469601054,84.20193798
711,852,1108,3761,1211544,0.00,1.567692019,89.82213624
716,673,1155,-368440,963736,-0.38,1.963084605,112.4764627
163,410,571,-131372,133660,-0.98,2.95629763,169.3833772
87,127,124,8322,22098,0.38,1.184678214,67.87706174
940,817,864,804593,1535960,0.52,1.019446856,58.41000231
766,624,441,781651,955968,0.82,0.613472256,35.14937113
950,383,1060,-74411,727700,-0.10,1.673230419,95.86904115
856,486,1219,-517029,832032,-0.62,2.241331255,128.4188214
348,248,140,163008,172608,0.94,0.335084129,19.19890635
753,614,732,408181,924684,0.44,1.113607321,63.80499953
523,61,538,-12194,63806,-0.19,1.763089756,101.0176019
20,777,783,-8960,31080,-0.29,1.863235075,106.7555061
570,169,507,96412,192660,0.50,1.046706017,59.97183719
960,573,1133,-33760,1100160,-0.03,1.60148759,91.75847988
868,336,1195,-561705,583296,-0.96,2.868659874,164.3621036
407,653,839,-111863,531542,-0.21,1.782831546,102.1487232
835,585,798,402646,976950,0.41,1.145988206,65.66028759
673,701,979,-14111,943546,-0.01,1.58575217,90.8569067
481,334,511,81796,321308,0.25,1.313391296,75.25177809
677,670,633,506540,907180,0.56,0.978379436,56.05701245
676,596,686,341596,805792,0.42,1.133020844,64.91731245
665,76,677,-10328,101080,-0.10,1.673151449,95.86451651
22,899,878,37801,39556,0.96,0.298996641,17.13124563
49,922,933,-18004,90356,-0.20,1.771395245,101.4934714
519,988,965,314280,1025544,0.31,1.259332889,72.15445953
156,900,821,160295,280800,0.57,0.963254202,55.19040034
993,119,1080,-166190,236334,-0.70,2.350684209,134.6842842
505,788,1292,-793295,795880,-1.00,3.06097334,175.3808536
110,247,219,25148,54340,0.46,1.089656561,62.43272207
716,732,532,765456,1048224,0.73,0.752121884,43.09340962
742,343,839,-35708,509012,-0.07,1.641005581,94.02269396
306,194,423,-47657,118728,-0.40,1.983837353,113.6655076
609,780,554,672365,950040,0.71,0.784526555,44.95006052
517,781,1213,-594119,807554,-0.74,2.397498715,137.3665578
162,901,906,17209,291924,0.06,1.511811855,86.62043872
812,219,640,297705,355656,0.84,0.578911198,33.16916838
23,420,407,11280,19320,0.58,0.947332342,54.27814498
365,14,376,-7955,10220,-0.78,2.462870738,141.1120988
946,432,662,643296,817344,0.79,0.664773364,38.0887081
390,380,311,199779,296400,0.67,0.831161472,47.62204442
956,962,785,1223155,1839344,0.66,0.843308886,48.31803998
28,468,447,19999,26208,0.76,0.702719197,40.26284419
102,982,1076,-183048,200328,-0.91,2.723195794,156.0276258
556,409,240,418817,454808,0.92,0.400501697,22.94705693
18,317,316,957,11412,0.08,1.486838631,85.18957838
644,630,856,78900,811440,0.10,1.473407907,84.42005457
996,528,1503,-988209,1051776,-0.94,2.792145754,159.9781675
540,961,1187,-193848,1037880,-0.19,1.758672677,100.7645219
584,930,1224,-292220,1086240,-0.27,1.84317143,105.6059439
548,407,188,430609,446072,0.97,0.264071788,15.13019892
361,503,230,330430,363166,0.91,0.427851247,24.51407069
801,698,1404,-842411,1118196,-0.75,2.423962316,138.8828104
81,909,983,-133447,147258,-0.91,2.705034279,154.9870476
496,838,487,711091,831296,0.86,0.544472798,31.19599337
469,863,1296,-714886,809494,-0.88,2.653282727,152.0219021
321,820,709,272760,526440,0.52,1.026142867,58.79365546
75,326,373,-27228,48900,-0.56,2.161336527,123.8354611
490,57,516,-22907,55860,-0.41,1.993336751,114.209783
155,147,170,16734,45570,0.37,1.194782974,68.45602185
550,625,128,676741,687500,0.98,0.177146512,10.14974748
777,403,512,503994,626262,0.80,0.635516155,36.4123935
392,609,745,-30480,477456,-0.06,1.63467811,93.66015657
592,715,318,760565,846560,0.90,0.454641985,26.04906694
247,20,244,1873,9880,0.19,1.380067151,79.07202318
186,26,194,-2364,9672,-0.24,1.817714608,104.1473754
65,573,566,12198,74490,0.16,1.40630198,80.5751682
547,470,558,208745,514180,0.41,1.152749226,66.04766547
633,712,739,361512,901392,0.40,1.158122967,66.35555818
431,631,227,532393,543922,0.98,0.206258861,11.81776219
854,14,847,12103,23912,0.51,1.040084316,59.59244164
259,911,1158,-443962,471898,-0.94,2.79578136,160.1864724
375,110,481,-78636,82500,-0.95,2.834325319,162.3948786
264,659,670,55077,347952,0.16,1.411838686,80.89239809
872,893,1502,-698171,1557392,-0.45,2.035653315,116.6343435
849,577,792,426466,979746,0.44,1.120444614,64.19674757
774,187,795,2020,289476,0.01,1.563818144,89.60017959
527,72,499,33912,75888,0.45,1.107533872,63.45701652
776,784,777,613103,1216768,0.50,1.042713448,59.74307984
648,464,755,65175,601344,0.11,1.462200784,83.77793375
973,384,918,251461,747264,0.34,1.227589187,70.33567939
925,753,964,493338,1393050,0.35,1.208799504,69.25910988
889,798,932,558501,1418844,0.39,1.166218166,66.81937888
177,143,95,42753,50622,0.84,0.565065085,32.3758445
418,839,767,290356,701404,0.41,1.143991922,65.54590893
731,253,976,-354206,369886,-0.96,2.849379109,163.2573972
177,261,336,-13446,92394,-0.15,1.7168439,98.36790957
363,151,426,-26906,109626,-0.25,1.81876418,104.2075114
257,54,269,-3396,27756,-0.12,1.693455594,97.0278583
698,130,658,71140,181480,0.39,1.167992701,66.9210523
94,568,502,79456,106784,0.74,0.731637342,41.91973183
986,429,697,670428,845988,0.79,0.655932855,37.58218423
813,268,589,385872,435768,0.89,0.483230099,27.6870452
895,521,767,484177,932590,0.52,1.024911465,58.72310132
531,945,859,437105,1003590,0.44,1.120156688,64.18025059
591,721,1192,-551742,852222,-0.65,2.274985149,130.3470475
222,162,364,-56968,71928,-0.79,2.484897608,142.3741454
960,421,1370,-778059,808320,-0.96,2.867100929,164.2727826
619,393,959,-382071,486534,-0.79,2.47396309,141.7476437
487,831,1138,-367314,809394,-0.45,2.041836689,116.9886247
739,584,834,191621,863152,0.22,1.346929657,77.17338467
756,681,540,743697,1029672,0.72,0.763723308,43.75812229
623,324,393,338656,403704,0.84,0.57558862,32.97879868
565,218,649,-54452,246340,-0.22,1.793681235,102.7703645
299,117,350,-19410,69966,-0.28,1.851904465,106.1063099
914,818,830,815620,1495304,0.55,0.993865272,56.94428547
741,218,566,276249,323076,0.86,0.545131962,31.23376073
890,463,652,581365,824140,0.71,0.78778052,45.13649898
207,969,1048,-116494,401166,-0.29,1.865429153,106.8812174
940,767,847,754480,1441960,0.52,1.020156879,58.45068359
915,472,942,172645,863760,0.20,1.369564836,78.47028486
672,350,756,2548,470400,0.01,1.565379634,89.68964634
795,424,1152,-515303,674160,-0.76,2.440849245,139.8503602
958,863,806,1012897,1653508,0.61,0.911482547,52.22410305
148,694,810,-152560,205424,-0.74,2.407828733,137.9584242
538,248,558,39584,266848,0.15,1.421907718,81.46931107
887,796,760,842785,1412104,0.60,0.931252767,53.35685321
876,133,996,-206951,233016,-0.89,2.664079883,152.6405336
130,681,608,110997,177060,0.63,0.893242342,51.17901629
945,194,998,-65343,366660,-0.18,1.749964803,100.2655975
759,946,916,631941,1436028,0.44,1.115128884,63.89217867
729,273,618,224046,398034,0.56,0.972928343,55.7446878
104,202,218,4096,42016,0.10,1.473154578,84.40553987
343,988,723,571064,677768,0.84,0.568767192,32.58795966
415,861,778,308262,714630,0.43,1.124797868,64.44617065
463,234,537,-19244,216684,-0.09,1.659724849,95.095229
513,566,450,381025,580716,0.66,0.855117724,48.99463655
356,984,979,136551,700608,0.19,1.374637194,78.76090955
77,395,355,35929,60830,0.59,0.938937078,53.79713181
912,352,1134,-330308,642048,-0.51,2.111174104,120.961366
190,471,570,-66959,178980,-0.37,1.954238,111.9695895
512,347,403,220144,355328,0.62,0.902625106,51.71660903
631,999,1565,-1053063,1260738,-0.84,2.559429171,146.6444895
281,333,157,165201,187146,0.88,0.489137148,28.0254942
913,939,888,926746,1714614,0.54,0.999767031,57.28243137
28,806,825,-30205,45136,-0.67,2.303927661,132.0053313
44,77,77,1936,6776,0.29,1.281044625,73.3984504
305,817,869,5353,498370,0.01,1.560055105,89.3845733
787,219,957,-248519,344706,-0.72,2.375981982,136.1337398
22,118,130,-2492,5192,-0.48,2.071415912,118.6833894
388,460,522,89660,356960,0.25,1.316900691,75.45285163
660,939,1275,-308304,1239480,-0.25,1.822171933,104.4027613
864,60,882,-27828,103680,-0.27,1.842530912,105.5692449
892,604,1216,-318176,1077536,-0.30,1.870546036,107.1743933
563,378,245,399828,425628,0.94,0.349967994,20.05168902
710,424,549,382475,602080,0.64,0.88245623,50.56101759
346,510,840,-325784,352920,-0.92,2.746887681,157.3850709
782,172,738,96464,269008,0.36,1.204037647,68.98627556
194,173,314,-31031,67124,-0.46,2.051376451,117.5352129
933,211,983,-51279,393726,-0.13,1.701407687,97.48347967
743,4,740,4465,5944,0.75,0.720951994,41.3075065
309,241,430,-31338,148938,-0.21,1.78279035,102.1463628
218,664,465,272195,289504,0.94,0.347545473,19.91288879
38,51,61,324,3876,0.08,1.487107339,85.2049742
722,29,746,-34391,41876,-0.82,2.534408722,145.2109233
692,420,562,339420,581280,0.58,0.947249422,54.273394
995,692,1242,-73675,1377080,-0.05,1.624322769,93.06683921
510,521,938,-348303,531420,-0.66,2.285534171,130.9514619
13,124,128,-839,3224,-0.26,1.834062666,105.0840501
736,851,519,996536,1252672,0.80,0.650917378,37.29481859
455,769,1031,-264575,699790,-0.38,1.958515325,112.2146623
277,533,622,-26066,295282,-0.09,1.659186314,95.06437324
241,586,476,174901,282452,0.62,0.903042532,51.74052583
863,216,770,198525,372816,0.53,1.009243394,57.82538695
115,969,1072,-196998,222870,-0.88,2.654963798,152.1182204
817,355,1073,-357815,580070,-0.62,2.235528009,128.0863199
364,615,631,112560,447720,0.25,1.316662521,75.43920552
127,99,211,-18591,25146,-0.74,2.402859756,137.6737228
29,852,854,-2571,49416,-0.05,1.622847511,92.98231317
643,300,660,67849,385800,0.18,1.394011187,79.87095762
447,549,170,472310,490806,0.96,0.275405342,15.77956377
788,28,761,42607,44128,0.97,0.26331638,15.08691727
551,29,527,26713,31958,0.84,0.581065346,33.29259194
43,907,902,10894,78002,0.14,1.430675169,81.97164906
180,640,482,209676,230400,0.91,0.427386627,24.48744995
496,784,696,376256,777728,0.48,1.065817766,61.06685975
738,900,606,987408,1328400,0.74,0.732797034,41.98617727
476,961,1037,74728,914872,0.08,1.489023854,85.31478241
624,969,1044,238401,1209312,0.20,1.372358851,78.63037013
277,722,749,37012,399988,0.09,1.47813099,84.69066731
379,374,375,142892,283492,0.50,1.042523417,59.73219185
406,475,801,-251140,385700,-0.65,2.279865809,130.6266887
867,654,556,870269,1134036,0.77,0.696006728,39.87824806
925,875,1089,435329,1618750,0.27,1.298515317,74.39944728
265,733,476,380938,388490,0.98,0.197497736,11.31578673
751,11,755,-5903,16522,-0.36,1.936151664,110.9333188
603,53,604,1602,63918,0.03,1.54573034,88.56382472
422,234,251,169839,197496,0.86,0.535601664,30.68771483
250,639,609,99940,319500,0.31,1.252655472,71.7718717
828,286,661,330459,473616,0.70,0.798563963,45.75434474
442,717,578,375369,633828,0.59,0.936978538,53.6849157
886,751,635,945772,1330772,0.71,0.780311768,44.70857099
375,742,550,388689,556500,0.70,0.797563007,45.69699423
617,111,617,12321,136974,0.09,1.480723202,84.83919011
239,535,460,131746,255730,0.52,1.029583153,58.99076935
790,145,843,-65524,229100,-0.29,1.860852561,106.618998
280,130,205,53275,72800,0.73,0.749837757,42.96253878
24,11,24,121,528,0.23,1.339574847,76.75198509
549,582,769,48764,639036,0.08,1.494413384,85.62357977
737,32,744,-9343,47168,-0.20,1.770194236,101.4246587
215,750,871,-149916,322500,-0.46,2.05426808,117.700891
501,310,315,247876,310620,0.80,0.64682045,37.06008186
917,712,376,1206457,1305808,0.92,0.392603585,22.49452842
952,845,629,1224688,1608880,0.76,0.705626652,40.42942907
417,341,691,-187311,284394,-0.66,2.289795665,131.1956275
950,710,1393,-533849,1349000,-0.40,1.977666381,113.3119369
696,754,1392,-884732,1049568,-0.84,2.573537192,147.4528195
233,336,374,27309,156576,0.17,1.395486013,79.95545893
987,704,549,1168384,1389696,0.84,0.572133224,32.78081904
25,629,647,-22343,31450,-0.71,2.360904283,135.2698513
871,465,989,-3255,810030,0.00,1.574814707,90.23023624
85,22,91,-572,3740,-0.15,1.724340109,98.79741071
319,734,832,-51707,468292,-0.11,1.681438078,96.33930538
462,471,14,435089,435204,1.00,0.022989369,1.317193791
648,85,702,-65675,110160,-0.60,2.209528803,126.5966751
426,492,859,-314341,419184,-0.75,2.418688909,138.5806664
429,337,281,218649,289146,0.76,0.713327179,40.87063675
981,280,825,360136,549360,0.66,0.855878249,49.03821145
614,967,683,845596,1187476,0.71,0.778318305,44.59435397
583,184,716,-138911,214544,-0.65,2.275057449,130.35119
448,817,1196,-562223,732032,-0.77,2.44655663,140.1773693
974,10,978,-7708,19480,-0.40,1.977613073,113.3088826
854,872,1577,-997229,1489376,-0.67,2.304414744,132.0332391
508,816,861,182599,829056,0.22,1.348726292,77.27632426
83,641,715,-93455,106406,-0.88,2.643063845,151.4364033
61,985,968,36922,120170,0.31,1.258496463,72.10653586
991,868,693,1255256,1720376,0.73,0.753000243,43.14373587
126,639,588,78453,161028,0.49,1.06191459,60.84322422
404,87,443,-25464,70296,-0.36,1.941465964,111.2378058
617,769,1263,-623119,948946,-0.66,2.287155701,131.0443688
348,789,573,415296,549144,0.76,0.71321754,40.86435491
921,929,1166,351726,1711218,0.21,1.363779525,78.13881099
847,804,1540,-1007775,1361976,-0.74,2.403771458,137.7259594
849,973,678,1207846,1652154,0.73,0.750902348,43.02353538
219,842,783,143836,368796,0.39,1.170148361,67.04456252
958,789,1097,336876,1511724,0.22,1.346067245,77.12397206
86,256,284,-7724,44032,-0.18,1.747126538,100.1029769
872,202,772,205204,352288,0.58,0.949008473,54.37418022
439,525,567,146857,460950,0.32,1.246547995,71.42193906
949,648,1128,48121,1229904,0.04,1.531660519,87.75768341
771,328,955,-210000,505776,-0.42,1.998962887,114.5321368
430,417,262,290145,358620,0.81,0.628245823,35.99583414
696,237,613,164816,329904,0.50,1.047673501,60.02726991
502,377,357,266684,378508,0.70,0.788984453,45.20547924
805,30,821,-25116,48300,-0.52,2.117647277,121.3322515
834,946,1214,116676,1577928,0.07,1.496786243,85.75953456
483,970,1251,-390812,937020,-0.42,2.001026134,114.6503522
176,117,71,39624,41184,0.96,0.276117247,15.82035288
737,17,748,-16046,25058,-0.64,2.265755885,129.8182496
789,422,1071,-346436,665916,-0.52,2.117928031,121.3483375
564,257,483,150856,289896,0.52,1.023500763,58.64227403
782,150,896,-168792,234600,-0.72,2.373861855,136.0122654
436,698,360,547700,608656,0.90,0.451367429,25.86144871
739,993,346,1412454,1467654,0.96,0.275133434,15.76398458
753,798,1201,-238588,1201788,-0.20,1.770651641,101.450866
874,738,763,726351,1290024,0.56,0.97272174,55.73285037
509,266,294,243401,270788,0.90,0.453630931,25.99113782
114,624,582,63648,142272,0.45,1.10697561,63.42503048
821,692,931,286144,1136264,0.25,1.316226833,75.41424241
916,281,1164,-436879,514792,-0.85,2.584226993,148.0653
